productnr,category,prompt
352,Backpacks,"A high-quality picture of a green backpacks made from wooden, displayed on a white background"
353,Umbrellas,"A high-quality picture of a black umbrellas made from cotton, displayed on a white background"
354,Blenders,"A high-quality picture of a green blenders made from leather, displayed against a pastel background"
355,Shoes,"A high-quality picture of a black shoes made from wooden, displayed against a pastel background"
356,Umbrellas,"A high-quality picture of a brown umbrellas made from stainless steel, displayed on a white background"
357,Towels,"A high-quality picture of a brown towels made from silk, displayed outdoors"
358,Mirrors,"A high-quality picture of a brown mirrors made from stainless steel, displayed in a studio setting"
359,Toasters,"A high-quality picture of a brown toasters made from leather, displayed in a modern living room"
360,Microwaves,"A high-quality picture of a black microwaves made from metal, displayed on a marble table"
361,Shaving creams,"A high-quality picture of a brown shaving creams made from metal, displayed against a pastel background"
362,Laundry baskets,"A high-quality picture of a purple laundry baskets made from cotton, displayed in a modern living room"
363,Belts,"A high-quality picture of a green belts made from stainless steel, displayed on a marble table"
364,Curtains,"A high-quality picture of a purple curtains made from metal, displayed on a white background"
365,Wine glasses,"A high-quality picture of a navy wine glasses made from wooden, displayed in a studio setting"
366,Floor mats,"A high-quality picture of a green floor mats made from plastic, displayed against a pastel background"
367,Kitchen knives,"A high-quality picture of a beige kitchen knives made from glass, displayed in a modern living room"
368,Cookware sets,"A high-quality picture of a blue cookware sets made from wooden, displayed outdoors"
369,Alarm clocks,"A high-quality picture of a orange alarm clocks made from leather, displayed outdoors"
370,Refrigerators,"A high-quality picture of a yellow refrigerators made from stainless steel, displayed against a pastel background"
371,Hats,"A high-quality picture of a black hats made from silk, displayed in a studio setting"
372,Handbags,"A high-quality picture of a blue handbags made from ceramic, displayed in a studio setting"
373,Backpacks,"A high-quality picture of a orange backpacks made from ceramic, displayed outdoors"
374,Water bottles,"A high-quality picture of a black water bottles made from metal, displayed in natural lighting"
375,Desks,"A high-quality picture of a gray desks made from plastic, displayed on a marble table"
376,Hairdryers,"A high-quality picture of a yellow hairdryers made from silk, displayed in natural lighting"
377,Cutting boards,"A high-quality picture of a white cutting boards made from stainless steel, displayed outdoors"
378,Kettles,"A high-quality picture of a pink kettles made from glass, displayed in a studio setting"
379,Backpacks,"A high-quality picture of a gray backpacks made from cotton, displayed on a white background"
380,Blenders,"A high-quality picture of a silver blenders made from cotton, displayed in a studio setting"
381,Earphones,"A high-quality picture of a yellow earphones made from plastic, displayed against a pastel background"
382,Smartwatches,"A high-quality picture of a black smartwatches made from cotton, displayed in a studio setting"
383,Hats,"A high-quality picture of a silver hats made from metal, displayed against a pastel background"
384,Slippers,"A high-quality picture of a pink slippers made from leather, displayed in natural lighting"
385,Rugs,"A high-quality picture of a black rugs made from cotton, displayed against a pastel background"
386,T-shirts,"A high-quality picture of a blue t-shirts made from stainless steel, displayed in natural lighting"
387,Microwaves,"A high-quality picture of a gray microwaves made from leather, displayed outdoors"
388,Hairdryers,"A high-quality picture of a blue hairdryers made from ceramic, displayed on a white background"
389,Coffee tables,"A high-quality picture of a white coffee tables made from cotton, displayed in natural lighting"
390,Mirrors,"A high-quality picture of a silver mirrors made from glass, displayed outdoors"
391,Hairdryers,"A high-quality picture of a green hairdryers made from stainless steel, displayed on a white background"
392,Kitchen knives,"A high-quality picture of a green kitchen knives made from plastic, displayed in a modern living room"
393,Sofas,"A high-quality picture of a blue sofas made from wooden, displayed in a studio setting"
394,Rugs,"A high-quality picture of a brown rugs made from stainless steel, displayed on a wooden surface"
395,Bathrobes,"A high-quality picture of a blue bathrobes made from ceramic, displayed in a studio setting"
396,Coffee tables,"A high-quality picture of a brown coffee tables made from wooden, displayed in natural lighting"
397,Smartwatches,"A high-quality picture of a yellow smartwatches made from stainless steel, displayed in natural lighting"
398,Water bottles,"A high-quality picture of a green water bottles made from cotton, displayed in natural lighting"
399,Curtains,"A high-quality picture of a silver curtains made from stainless steel, displayed in a modern living room"
400,Toasters,"A high-quality picture of a beige toasters made from leather, displayed in a studio setting"
401,Smartwatches,"A high-quality picture of a beige smartwatches made from ceramic, displayed on a wooden surface"
402,Watches,"A high-quality picture of a blue watches made from cotton, displayed in a modern living room"
403,Lamps,"A high-quality picture of a white lamps made from wooden, displayed against a pastel background"
404,Shoes,"A high-quality picture of a green shoes made from wooden, displayed against a pastel background"
405,Laundry baskets,"A high-quality picture of a blue laundry baskets made from cotton, displayed against a pastel background"
406,Alarm clocks,"A high-quality picture of a green alarm clocks made from wooden, displayed in natural lighting"
407,Dinner plates,"A high-quality picture of a orange dinner plates made from ceramic, displayed in a studio setting"
408,Desks,"A high-quality picture of a white desks made from ceramic, displayed on a marble table"
409,Shoes,"A high-quality picture of a yellow shoes made from cotton, displayed in natural lighting"
410,Curtains,"A high-quality picture of a white curtains made from leather, displayed in a studio setting"
411,Coffee tables,"A high-quality picture of a beige coffee tables made from leather, displayed in natural lighting"
412,Dinner plates,"A high-quality picture of a blue dinner plates made from plastic, displayed on a marble table"
413,Rugs,"A high-quality picture of a purple rugs made from cotton, displayed on a marble table"
414,Microwaves,"A high-quality picture of a navy microwaves made from metal, displayed outdoors"
